,vault_name,vault_apy,vault_total_assets
2021-04-21 12:42:48.842905, CRV:STETH,11.12%  ,39.43M
2021-04-21 12:42:48.880486, CRV:HBTC,6.28%  ,12.69M
2021-04-21 12:42:48.903044, CRV:OBTC,13.53%  ,11.51M
2021-04-21 12:42:48.922736, CRV:TBTC,2.65%  ,680.02K
2021-04-21 12:42:48.942374, CRV:RENWBTC,2.04%  ,102.90M
2021-04-21 12:42:48.963102, WBTC,1.46%  ,1.87M
2021-04-21 12:42:49.009089, MUSE-ETH,262.63%  ,722.50K
2021-04-21 12:42:49.031159, DUDES20-ETH,484.81%  ,160.35K
2021-04-21 12:42:49.051119, MASK20-ETH,281.98%  ,227.29K
2021-04-21 12:42:49.071111, ROPE20-ETH,438.58%  ,192.46K
2021-04-21 12:42:49.091323, MCAT20-ETH,345.71%  ,173.35K
2021-04-21 12:42:49.128347, 1INCH-ETH,70.56%  ,1.23M
2021-04-21 12:42:49.148189, 1INCH-USDC,105.03%  ,910.86K
2021-04-21 12:42:49.168089, 1INCH-WBTC,88.51%  ,1.46M
2021-04-21 12:42:49.220584, ETH-DAI,63.51%  ,240.23K
2021-04-21 12:42:49.245092, ETH-USDC,59.98%  ,418.91K
2021-04-21 12:42:49.269497, ETH-USDT,65.54%  ,350.52K
2021-04-21 12:42:49.302655, ETH-WBTC,26.08%  ,9.87M
2021-04-21 12:42:49.360761, ETH-SUSHI,44.32%  ,945.31K
2021-04-21 12:42:49.381169, ETH-DAI,48.80%  ,14.63M
2021-04-21 12:42:49.400824, ETH-USDC,46.53%  ,10.43M
2021-04-21 12:42:49.420687, ETH-USDT,49.41%  ,29.25M
2021-04-21 12:42:49.441456, ETH-WBTC,13.83%  ,14.42M
2021-04-21 12:42:49.464480, ETH-UST,202.42%  ,465.69K
2021-04-21 12:42:49.505021, ETH-DPI,21.79%  ,3.15M
2021-04-21 12:42:49.525496, WBTC-KBTC,75.68%  ,1.90M
2021-04-21 12:42:49.548080, WBTC-KLONX,162.66%  ,310.85K
2021-04-21 12:42:49.567806, FARM/ETH,27.85%,13.98M
2021-04-21 12:42:49.589762, FARM/GRAIN,95.30%,166.26K
2021-04-21 12:42:49.626776, DAI-BAC,15.26%  ,1.28M
2021-04-21 12:42:49.646613, DAI-BASv2,50.74%  ,195.17K
2021-04-21 12:42:49.666378, DAI-BSG,179.38%  ,13.40K
